Experimento,Clientes,Pacotes,Armazens,ConsultasCL,ConsultasPC,TempoTotal,TempoProcessamento,NumEventos
ARMAZENS,100,10000,10,,,0.072,0.069672,10100
ARMAZENS,100,10000,100,,,0.07,0.067482,10100
ARMAZENS,100,10000,200,,,0.072,0.070017,10100
ARMAZENS,100,10000,300,,,0.068,0.065700,10100
ARMAZENS,100,10000,500,,,0.095,0.091665,10100
ARMAZENS,100,10000,700,,,0.101,0.097971,10100
ARMAZENS,100,10000,1000,,,0.078,0.075627,10100
ARMAZENS,100,10000,1500,,,0.075,0.072932,10100
ARMAZENS,100,10000,2000,,,0.069,0.066520,10100
ARMAZENS,100,10000,3000,,,0.066,0.063386,10100
ARMAZENS,100,10000,5000,,,0.07,0.067401,10100
ARMAZENS,100,10000,10000,,,0.071,0.068262,10100
ARMAZENS,100,10000,1,,,0.076,0.073260,10100
ARMAZENS,100,10000,10,,,0.07,0.067534,10100
ARMAZENS,100,10000,100,,,0.069,0.066448,10100
ARMAZENS,100,10000,200,,,0.075,0.072282,10100
ARMAZENS,100,10000,300,,,0.082,0.078542,10100
ARMAZENS,100,10000,500,,,0.072,0.069350,10100
ARMAZENS,100,10000,700,,,0.082,0.079422,10100
ARMAZENS,100,10000,1000,,,0.083,0.080057,10100
ARMAZENS,100,10000,1500,,,0.085,0.081675,10100
ARMAZENS,100,10000,2000,,,0.082,0.078304,10100
ARMAZENS,100,10000,3000,,,0.078,0.075075,10100
ARMAZENS,100,10000,5000,,,0.076,0.072605,10100
ARMAZENS,100,10000,10000,,,0.081,0.078183,10100
ARMAZENS,100,10000,1000000,,,0.084,0.081164,10100
