Experimento,Clientes,Pacotes,Armazens,ConsultasCL,ConsultasPC,TempoTotal,TempoProcessamento,NumEventos
CLIENTES,10,10000,30,50,50,0m0.995s,0.954815,10100
CLIENTES,50,10000,30,50,50,0m0.283s,0.237723,10100
CLIENTES,100,10000,30,50,50,0m0.129s,0.139276,10100
CLIENTES,200,10000,30,50,50,0m0.094s,0.102210,10100
CLIENTES,300,10000,30,50,50,0m0.092s,0.093162,10100
CLIENTES,400,10000,30,50,50,0m0.092s,0.098692,10100
CLIENTES,500,10000,30,50,50,0m0.089s,0.096500,10100
CLIENTES,1000,10000,30,50,50,0m0.127s,0.076875,10100
CLIENTES,10000,10000,30,50,50,0m0.094s,0.091752,10100
CLIENTES,20000,10000,30,50,50,0m0.072s,0.078536,10100
CLIENTES,30000,10000,30,50,50,0m0.089s,0.079755,10100
CLIENTES,40000,10000,30,50,50,0m0.076s,0.064624,10100
CLIENTES,50000,10000,30,50,50,0m0.098s,0.087959,10100
CLIENTES,60000,10000,30,50,50,0m0.066s,0.070187,10100
CLIENTES,70000,10000,30,50,50,0m0.069s,0.079104,10100
CLIENTES,80000,10000,30,50,50,0m0.072s,0.068827,10100
CLIENTES,90000,10000,30,50,50,0m0.077s,0.067077,10100
CLIENTES,100000,10000,30,50,50,0m0.077s,0.064972,10100
